filename,predicted_coverage,gt_coverage,uncertain_pixels,mean_entropy,decision
30-11-2021_15-54-30-657433.png,0.0,1.0,0.0,0.027236,ACCEPT
30-11-2021_15-54-30-719835.png,0.0,0.8602,0.0,0.000224,ACCEPT
30-11-2021_15-54-30-766654.png,0.0,0.49,0.0,0.0,ACCEPT
30-11-2021_15-54-30-793837.png,0.0,0.3247,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-812023.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-817394.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-822552.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-828722.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-834990.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-845959.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-859724.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-879639.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-904475.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-935223.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-30-974041.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-006110.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-041791.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-072132.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-104107.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-140431.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-169828.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-198673.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-233663.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-269873.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-307025.png,0.0,1.0,0.0,0.000855,ACCEPT
30-11-2021_15-54-31-353245.png,0.0,1.0,0.0,3.2e-05,ACCEPT
30-11-2021_15-54-31-399151.png,0.0,0.9999,0.0,3e-06,ACCEPT
30-11-2021_15-54-31-445980.png,0.0,0.7381,0.0,0.0,ACCEPT
30-11-2021_15-54-31-479422.png,0.0,0.3661,0.0,0.0,ACCEPT
30-11-2021_15-54-31-499841.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-504938.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-512279.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-519148.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-530912.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-540816.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-565382.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-601415.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-643526.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-683373.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-720924.png,0.0,0.016,0.0,1e-06,ACCEPT
30-11-2021_15-54-31-750337.png,0.0,0.1236,0.0,2e-06,ACCEPT
30-11-2021_15-54-31-784628.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-817147.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-851729.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-887146.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-919894.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-31-952794.png,0.0,0.0,0.0,7e-06,ACCEPT
30-11-2021_15-54-31-983547.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-020325.png,0.0,0.9697,0.0,1.5e-05,ACCEPT
30-11-2021_15-54-32-066590.png,0.0,0.7246,0.0,2e-06,ACCEPT
30-11-2021_15-54-32-097631.png,0.0,0.476,0.0,0.0,ACCEPT
30-11-2021_15-54-32-119431.png,0.0,0.0087,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-125194.png,0.0,0.0583,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-135325.png,0.0,0.2485,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-159655.png,0.0,0.3905,0.0,0.0,ACCEPT
30-11-2021_15-54-32-191056.png,0.0,0.4611,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-224169.png,0.0,0.5086,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-262340.png,0.0,0.1046,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-289171.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-318739.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-355468.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-394234.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-426001.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-461502.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-490670.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-519458.png,0.0,0.0,0.0,0.0,ACCEPT
30-11-2021_15-54-32-547617.png,0.0,0.0,0.0,0.0,ACCEPT
30-11-2021_15-54-32-574776.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-603654.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-630810.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-664688.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-697483.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-734436.png,0.0,0.6319,0.0,0.0,ACCEPT
30-11-2021_15-54-32-760114.png,0.0,0.2045,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-770628.png,0.0,0.0037,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-775958.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-780490.png,0.0,0.0003,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-785338.png,0.0,0.0952,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-797137.png,0.0,0.0818,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-810659.png,0.0,0.0419,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-821317.png,0.0,0.122,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-835083.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-850325.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-862176.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-877791.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-905744.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-32-955778.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-003356.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-045025.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-075794.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-105224.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-137733.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-164562.png,0.0,0.0,0.0,0.0,ACCEPT
30-11-2021_15-54-33-194179.png,0.0,0.0,0.0,0.0,ACCEPT
30-11-2021_15-54-33-230268.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-257937.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-288636.png,0.0032,0.9991,0.0148,0.048564,ACCEPT
30-11-2021_15-54-33-332689.png,0.0,0.8598,0.0,0.001492,ACCEPT
30-11-2021_15-54-33-377491.png,0.0,0.2107,0.0,4e-06,ACCEPT
30-11-2021_15-54-33-395281.png,0.0,0.2133,0.0,3e-06,ACCEPT
30-11-2021_15-54-33-410284.png,0.0,0.1492,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-422274.png,0.0,0.0443,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-430207.png,0.0,0.1446,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-441195.png,0.0,0.0148,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-451409.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-462380.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-483492.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-498020.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-508469.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-516781.png,0.0,0.0,0.0,-0.0,ACCEPT
30-11-2021_15-54-33-543882.png,0.0,0.0,0.0,-0.0,ACCEPT
